S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
120,ITQ20170119,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,12/5/2017,GoldenGate Facility Masters," $72,486.00 "
121,ITQ20170120,ITQ,Bureau of National Security and Intelligence,HVAC system maintenance and climate control optimization.,13/5/2017,BlueCrest Facility Support," $74,656.00 "
122,ITQ20170121,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,15/5/2017,UrbanTech Management," $40,784.00 "
123,ITQ20170122,ITQ,National Institute of Scientific Advancement,Health and safety compliance management and training.,15/5/2017,InfiniteGuard Building Care," $59,304.00 "
124,ITQ20170123,ITQ,National Commission for Space Exploration,Parking management and traffic control solutions.,17/5/2017,BlueSail Property Experts," $95,980.00 "
125,ITQ20170124,ITQ,Department of Energy Conservation and Sustainability,Expert landscaping and groundskeeping solutions.,19/5/2017,Xtreme Maintenance," $16,072.00 "
126,ITQ20170125,ITQ,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,20/5/2017,GoldenTech Maintenance," $31,155.00 "
127,ITQ20170126,ITQ,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,22/5/2017,HorizonHarbor Property Services," $46,902.00 "
128,ITQ20170127,ITQ,Institute for Social Justice and Equality,Parking management and traffic control solutions.,23/5/2017,BlueBreeze Facility Solutions," $91,805.00 "
129,ITQ20170128,ITQ,Federal Agency for Environmental Protection,HVAC system maintenance and climate control optimization.,25/5/2017,Reliable Facility Services," $33,697.00 "
130,ITQ20170129,ITQ,National Commission for Space Exploration,24/7 security and access control management.,26/5/2017,GreenWave Facilities Management," $81,308.00 "
131,ITQ20170130,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,27/5/2017,HighWave Building Solutions," $71,096.00 "
132,ITQ20170131,ITQ,Federal Agency for Environmental Protection,Cleaning supplies and consumables procurement and management.,28/5/2017,InfiniteSpace Building Solutions," $64,624.00 "
133,ITQ20170132,ITQ,National Commission for Space Exploration,Furniture and equipment maintenance and inventory tracking.,29/5/2017,UrbanEagle Maintenance," $60,507.00 "
134,ITQ20170133,ITQ,Bureau of Urban Development and Infrastructure,Expert landscaping and groundskeeping solutions.,30/5/2017,HorizonHarbor Property Services," $47,445.00 "
135,ITQ20170134,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,30/5/2017,GreenEdge Facility Masters," $49,501.00 "
136,ITQ20170135,ITQ,National Commission for Space Exploration,24/7 security and access control management.,31/5/2017,SecureSpace Management," $84,840.00 "
137,ITQ20170136,ITQ,Department of Advanced Technological Research,Waste management and recycling program implementation.,3/6/2017,GreenEdge Facility Masters," $11,183.00 "
138,ITQ20170137,ITQ,Bureau of Urban Development and Infrastructure,Energy-efficient systems and consumption monitoring.,4/6/2017,SkyHigh Property Management," $35,068.00 "
139,ITQ20170138,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,7/6/2017,HorizonView Property Management," $56,131.00 "
140,ITQ20170139,ITQ,National Institute of Scientific Advancement,Renovation and remodeling project management.,9/6/2017,StarStone Facility Services," $74,248.00 "
141,ITQ20170140,ITQ,Office of International Relations and Diplomatic Affairs,Expert landscaping and groundskeeping solutions.,10/6/2017,AlphaWave Property Solutions," $80,494.00 "
142,ITQ20170141,ITQ,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,11/6/2017,ApexGuard Facility Services," $43,709.00 "
143,ITQ20170142,ITQ,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,12/6/2017,SilverReach Facility Services," $17,014.00 "
144,ITQ20170143,ITQ,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,12/6/2017,GoldenGate Facility Masters," $80,838.00 "
145,ITQ20170144,ITQ,National Cybersecurity Task Force,24/7 security and access control management.,12/6/2017,EliteCare Facility Support," $90,644.00 "
146,ITQ20170145,ITQ,Ministry of Strategic Economic Planning,Building maintenance and repairs.,14/6/2017,StarCrest Facility Services," $95,709.00 "
147,ITQ20170146,ITQ,National Commission for Space Exploration,Emergency response and disaster recovery planning.,16/6/2017,Xtreme Maintenance," $30,228.00 "
148,ITQ20170147,ITQ,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,19/6/2017,EliteCare Facility Support," $62,358.00 "
149,ITQ20170148,ITQ,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,21/6/2017,HighWave Building Solutions," $29,967.00 "
150,ITQ20170149,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,21/6/2017,EliteEdge Facilities Group," $78,765.00 "
151,ITQ20170150,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,22/6/2017,SwiftSail Building Solutions," $66,084.00 "
152,ITQ20170151,ITQ,Commission for Ethical Governance,Building automation and smart technology integration.,23/6/2017,BlueSky Property Care," $14,290.00 "
153,ITQ20170152,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,23/6/2017,MaxPro Building Services," $90,213.00 "
154,ITQ20170153,ITQ,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,23/6/2017,FreshWave Property Support," $98,240.00 "
155,ITQ20170154,ITQ,National Cybersecurity Task Force,24/7 security and access control management.,24/6/2017,HorizonView Property Management," $75,616.00 "
156,ITQ20170155,ITQ,Office of International Relations and Diplomatic Affairs,Fire safety system installation and maintenance.,27/6/2017,GreenLine Building Experts," $57,434.00 "
157,ITQ20170156,ITQ,National Cybersecurity Task Force,Pest control services for a pest-free environment.,27/6/2017,FreshTech Management," $66,015.00 "
158,ITQ20170157,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,27/6/2017,SecureTech Building Solutions," $76,710.00 "
159,ITQ20170158,ITQ,Ministry of Strategic Economic Planning,Furniture and equipment maintenance and inventory tracking.,27/6/2017,TrustGuard Facilities," $81,257.00 "
160,ITQ20170159,ITQ,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,28/6/2017,GrandView Facilities Group," $99,841.00 "
161,ITQ20170160,ITQ,Department of Energy Conservation and Sustainability,Furniture and equipment maintenance and inventory tracking.,30/6/2017,EliteEdge Facilities Group," $52,444.00 "
162,ITQ20170161,ITQ,Ministry of Strategic Economic Planning,Energy-efficient systems and consumption monitoring.,30/6/2017,FreshStart Building Solutions," $81,685.00 "
163,ITQ20170162,ITQ,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,30/6/2017,GoldenGate Facility Masters," $97,742.00 "
164,ITQ20170163,ITQ,Commission for Ethical Governance,Health and safety compliance management and training.,2/7/2017,InfinitePro Facility Care," $43,464.00 "
165,ITQ20170164,ITQ,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,2/7/2017,StarStone Facility Services," $61,646.00 "
166,ITQ20170165,ITQ,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,3/7/2017,TrustGuard Facilities," $16,100.00 "
167,ITQ20170166,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,4/7/2017,ApexGuard Facility Services," $17,657.00 "
168,ITQ20170167,ITQ,Federal Agency for Environmental Protection,Waste management and recycling program implementation.,4/7/2017,UnitedPro Property Services," $97,073.00 "
169,ITQ20170168,ITQ,Commission for Ethical Governance,Waste management and recycling program implementation.,6/7/2017,InfiniteGuard Building Care," $12,927.00 "
170,ITQ20170169,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,6/7/2017,HorizonView Property Management," $55,253.00 "
171,ITQ20170170,ITQ,Department of Energy Conservation and Sustainability,Renovation and remodeling project management.,6/7/2017,UnitedPro Property Services," $74,119.00 "
172,ITQ20170171,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,6/7/2017,InfiniteCare Property Services," $88,023.00 "
173,ITQ20170172,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,6/7/2017,InfinitePro Facility Care," $91,798.00 "
174,ITQ20170173,ITQ,Department of Public Health and Disease Control,Parking management and traffic control solutions.,7/7/2017,EverPro Property Support," $65,739.00 "
175,ITQ20170174,ITQ,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,7/7/2017,SilverLine Facility Experts," $90,067.00 "
176,ITQ20170175,ITQ,National Cybersecurity Task Force,Indoor air quality monitoring and improvement measures.,8/7/2017,SwiftReach Building Maintenance," $52,437.00 "
177,ITQ20170176,ITQ,Commission for Ethical Governance,Parking management and traffic control solutions.,8/7/2017,CleanStone Property Experts," $63,882.00 "
178,ITQ20170177,ITQ,Ministry of Strategic Economic Planning,Tenant communication and customer service assistance.,11/7/2017,GreenWave Facilities Management," $57,071.00 "
179,ITQ20170178,ITQ,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,12/7/2017,CleanReach Facility Experts," $94,550.00 "
180,ITQ20170179,ITQ,National Cybersecurity Task Force,Space planning and utilization optimization strategies.,17/7/2017,ApexGuard Facility Services," $76,231.00 "
181,ITQ20170180,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,17/7/2017,SafeReach Property Solutions," $97,253.00 "
182,ITQ20170181,ITQ,Office of Public Safety and Emergency Management,Building maintenance and repairs.,20/7/2017,UrbanEagle Maintenance," $35,868.00 "
183,ITQ20170182,ITQ,Commission for Ethical Governance,Fire safety system installation and maintenance.,20/7/2017,InfiniteTech Building Solutions," $51,343.00 "
184,ITQ20170183,ITQ,Office of International Relations and Diplomatic Affairs,Cleaning supplies and consumables procurement and management.,20/7/2017,InfiniteSpace Building Solutions," $72,104.00 "
185,ITQ20170184,ITQ,Office of International Relations and Diplomatic Affairs,24/7 security and access control management.,24/7/2017,TruePro Building Experts," $37,118.00 "
186,ITQ20170185,ITQ,Department of Advanced Technological Research,Building maintenance and repairs.,26/7/2017,SafeReach Property Solutions," $76,804.00 "
187,ITQ20170186,ITQ,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,27/7/2017,VisionQuest Facility Care," $99,510.00 "
