S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
39,ITQ20170038,ITQ,Department of Energy Conservation and Sustainability,Comprehensive janitorial services and cleanliness maintenance.,2017-02-13,AlphaPro Facility Solutions,85476
40,ITQ20170039,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,2017-02-14,UrbanGuard Facilities,25590
41,ITQ20170040,ITQ,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,2017-02-15,HighWave Building Solutions,51735
42,ITQ20170041,ITQ,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,2017-02-16,SafeReach Property Solutions,21518
43,ITQ20170042,ITQ,National Institute of Scientific Advancement,Waste management and recycling program implementation.,2017-02-16,SafeReach Property Solutions,26542
44,ITQ20170043,ITQ,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,2017-02-16,TrustEdge Building Maintenance,70824
45,ITQ20170044,ITQ,Office of Public Safety and Emergency Management,Building automation and smart technology integration.,2017-02-17,UrbanTech Management,38923
46,ITQ20170045,ITQ,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,2017-02-18,TrueWave Facilities Management,42921
47,ITQ20170046,ITQ,National Commission for Space Exploration,Furniture and equipment maintenance and inventory tracking.,2017-02-18,BlueSky Property Care,60378
48,ITQ20170047,ITQ,Office of Public Safety and Emergency Management,Renovation and remodeling project management.,2017-02-20,HighWave Building Solutions,29642
49,ITQ20170048,ITQ,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,2017-02-20,EverPro Property Support,50862
50,ITQ20170049,ITQ,Department of Advanced Technological Research,Tenant communication and customer service assistance.,2017-02-23,InfiniteGuard Building Care,53512
51,ITQ20170050,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,2017-02-24,SkyStone Property Solutions,44666
52,ITQ20170051,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2017-02-24,GreenLine Building Experts,79643
53,ITQ20170052,ITQ,National Institute of Scientific Advancement,HVAC system maintenance and climate control optimization.,2017-02-24,TrustEdge Building Maintenance,99122
54,ITQ20170053,ITQ,Bureau of Urban Development and Infrastructure,Building maintenance and repairs.,2017-02-26,UrbanEdge Maintenance,37852
55,ITQ20170054,ITQ,National Cybersecurity Task Force,Indoor air quality monitoring and improvement measures.,2017-02-26,HorizonHarbor Property Services,54672
56,ITQ20170055,ITQ,Commission for Ethical Governance,24/7 security and access control management.,2017-02-27,SafeEdge Property Care,29652
57,ITQ20170056,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2017-03-01,AlphaWave Property Solutions,72959
58,ITQ20170057,ITQ,Ministry of Strategic Economic Planning,Space planning and utilization optimization strategies.,2017-03-02,UrbanEagle Maintenance,15439
59,ITQ20170058,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2017-03-04,Xtreme Maintenance,28596
60,ITQ20170059,ITQ,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,2017-03-04,InfiniteGuard Building Care,30995
61,ITQ20170060,ITQ,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,2017-03-04,InfiniteTech Building Solutions,59484
62,ITQ20170061,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2017-03-06,SkyHigh Property Management,43073
63,ITQ20170062,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,2017-03-07,SilverTech Facilities Masters,56470
64,ITQ20170063,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2017-03-07,GrandPro Facilities Support,82694
65,ITQ20170064,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2017-03-08,TrustEdge Building Maintenance,45078
66,ITQ20170065,ITQ,National Commission for Space Exploration,Expert landscaping and groundskeeping solutions.,2017-03-13,GoldenReach Property Management,36434
67,ITQ20170066,ITQ,Department of Energy Conservation and Sustainability,24/7 security and access control management.,2017-03-14,SafeHarbor Facilities Group,24711
68,ITQ20170067,ITQ,National Commission for Space Exploration,Energy-efficient systems and consumption monitoring.,2017-03-14,SafeReach Property Solutions,70369
69,ITQ20170068,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2017-03-14,ApexGuard Facility Services,84952
70,ITQ20170069,ITQ,National Commission for Space Exploration,Expert landscaping and groundskeeping solutions.,2017-03-16,SecureSpace Management,12958
71,ITQ20170070,ITQ,Bureau of Urban Development and Infrastructure,Indoor air quality monitoring and improvement measures.,2017-03-17,FreshEdge Facility Support,26548
72,ITQ20170071,ITQ,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2017-03-17,BlueSail Property Experts,33362
73,ITQ20170072,ITQ,Department of Energy Conservation and Sustainability,Comprehensive janitorial services and cleanliness maintenance.,2017-03-17,BlueSky Property Care,33975
74,ITQ20170073,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,2017-03-19,HorizonView Property Management,94015
75,ITQ20170074,ITQ,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2017-03-24,SecureSpace Management,80204
76,ITQ20170075,ITQ,Department of Advanced Technological Research,24/7 security and access control management.,2017-03-24,TrustPro Building Maintenance,81883
77,ITQ20170076,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2017-03-24,StarHarbor Facilities Group,82627
78,ITQ20170077,ITQ,Department of Energy Conservation and Sustainability,Building automation and smart technology integration.,2017-03-24,Reliable Facility Services,92982
79,ITQ20170078,ITQ,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2017-03-25,TruePro Building Experts,70469
80,ITQ20170079,ITQ,National Commission for Space Exploration,24/7 security and access control management.,2017-03-26,SecureSpace Management,54705
81,ITQ20170080,ITQ,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2017-03-27,SafeEdge Property Care,29722
82,ITQ20170081,ITQ,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2017-03-29,SilverReach Facility Services,65441
83,ITQ20170082,ITQ,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,2017-03-30,GoldenReach Property Management,13204
84,ITQ20170083,ITQ,Federal Agency for Environmental Protection,Parking management and traffic control solutions.,2017-04-01,UrbanEagle Maintenance,10386
85,ITQ20170084,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2017-04-01,HorizonHarbor Property Services,84550
86,ITQ20170085,ITQ,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,2017-04-02,GreenWave Facilities Management,28450
87,ITQ20170086,ITQ,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,2017-04-03,AlphaStone Property Support,58015
88,ITQ20170087,ITQ,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,2017-04-04,FreshEdge Facility Support,16921
89,ITQ20170088,ITQ,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2017-04-07,TrustEdge Building Maintenance,43513
90,ITQ20170089,ITQ,National Cybersecurity Task Force,Cleaning supplies and consumables procurement and management.,2017-04-07,InfiniteSpace Building Solutions,72422
91,ITQ20170090,ITQ,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2017-04-12,SwiftGuard Management,18843
92,ITQ20170091,ITQ,Bureau of Urban Development and Infrastructure,Pest control services for a pest-free environment.,2017-04-12,AlphaTech Facilities Management,85931
93,ITQ20170092,ITQ,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,2017-04-12,MaxPro Building Services,94282
94,ITQ20170093,ITQ,National Commission for Space Exploration,Health and safety compliance management and training.,2017-04-13,TrueNorth Facility Solutions,23953
95,ITQ20170094,ITQ,Bureau of National Security and Intelligence,Building automation and smart technology integration.,2017-04-13,SecurePrime Management,39508
96,ITQ20170095,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2017-04-14,SilverTech Facilities Masters,67589
97,ITQ20170096,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,2017-04-15,TrustPro Building Maintenance,22401
98,ITQ20170097,ITQ,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,2017-04-15,FreshWave Property Support,39927
99,ITQ20170098,ITQ,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2017-04-18,SwiftReach Building Maintenance,34908
100,ITQ20170099,ITQ,Office of International Relations and Diplomatic Affairs,Cleaning supplies and consumables procurement and management.,2017-04-21,InfiniteSpace Building Solutions,50170
101,ITQ20170100,ITQ,Bureau of Urban Development and Infrastructure,Health and safety compliance management and training.,2017-04-24,UrbanEagle Maintenance,54640
102,ITQ20170101,ITQ,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,2017-04-24,UrbanGuard Facilities,91751
103,ITQ20170102,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,2017-04-25,ApexGuard Facility Services,75192
104,ITQ20170103,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2017-04-27,InfiniteGuard Building Care,85034
105,ITQ20170104,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2017-04-27,EverReach Property Care,94788
106,ITQ20170105,ITQ,Bureau of Urban Development and Infrastructure,Furniture and equipment maintenance and inventory tracking.,2017-04-28,SilverStone Management,95728
107,ITQ20170106,ITQ,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,2017-04-30,BlueCrest Facility Support,15708
108,ITQ20170107,ITQ,Commission for Ethical Governance,Building maintenance and repairs.,2017-04-30,UrbanEdge Maintenance,32318
109,ITQ20170108,ITQ,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2017-05-01,SkyHarbor Facility Experts,30554
110,ITQ20170109,ITQ,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,2017-05-01,GreenWave Facilities Management,76284
111,ITQ20170110,ITQ,Federal Agency for Environmental Protection,Emergency response and disaster recovery planning.,2017-05-01,FreshEdge Facility Support,98981
112,ITQ20170111,ITQ,National Commission for Space Exploration,Building maintenance and repairs.,2017-05-02,SecureSpace Management,57464
113,ITQ20170112,ITQ,Agency for Cultural Preservation and Heritage,Parking management and traffic control solutions.,2017-05-02,EliteEdge Facilities Group,57501
114,ITQ20170113,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,2017-05-04,GreenWave Facilities Management,57802
115,ITQ20170114,ITQ,National Commission for Space Exploration,Comprehensive janitorial services and cleanliness maintenance.,2017-05-06,HorizonHarbor Property Services,38479
116,ITQ20170115,ITQ,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,2017-05-07,GreenEdge Facility Masters,64885
117,SVP20170116,SVP,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,2017-05-08,SafeHarbor Facilities Group,9509
118,ITQ20170117,ITQ,Department of Energy Conservation and Sustainability,Health and safety compliance management and training.,2017-05-09,InfiniteCare Property Services,61508
119,ITQ20170118,ITQ,National Institute of Scientific Advancement,Cleaning supplies and consumables procurement and management.,2017-05-10,InfiniteSpace Building Solutions,35656
120,ITQ20170119,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2017-05-12,GoldenGate Facility Masters,72486
121,ITQ20170120,ITQ,Bureau of National Security and Intelligence,HVAC system maintenance and climate control optimization.,2017-05-13,BlueCrest Facility Support,74656
122,ITQ20170121,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2017-05-15,UrbanTech Management,40784
123,ITQ20170122,ITQ,National Institute of Scientific Advancement,Health and safety compliance management and training.,2017-05-15,InfiniteGuard Building Care,59304
124,ITQ20170123,ITQ,National Commission for Space Exploration,Parking management and traffic control solutions.,2017-05-17,BlueSail Property Experts,95980
125,ITQ20170124,ITQ,Department of Energy Conservation and Sustainability,Expert landscaping and groundskeeping solutions.,2017-05-19,Xtreme Maintenance,16072
126,ITQ20170125,ITQ,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,2017-05-20,GoldenTech Maintenance,31155
127,ITQ20170126,ITQ,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,2017-05-22,HorizonHarbor Property Services,46902
128,ITQ20170127,ITQ,Institute for Social Justice and Equality,Parking management and traffic control solutions.,2017-05-23,BlueBreeze Facility Solutions,91805
129,ITQ20170128,ITQ,Federal Agency for Environmental Protection,HVAC system maintenance and climate control optimization.,2017-05-25,Reliable Facility Services,33697
130,ITQ20170129,ITQ,National Commission for Space Exploration,24/7 security and access control management.,2017-05-26,GreenWave Facilities Management,81308
131,ITQ20170130,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2017-05-27,HighWave Building Solutions,71096
132,ITQ20170131,ITQ,Federal Agency for Environmental Protection,Cleaning supplies and consumables procurement and management.,2017-05-28,InfiniteSpace Building Solutions,64624
133,ITQ20170132,ITQ,National Commission for Space Exploration,Furniture and equipment maintenance and inventory tracking.,2017-05-29,UrbanEagle Maintenance,60507
134,ITQ20170133,ITQ,Bureau of Urban Development and Infrastructure,Expert landscaping and groundskeeping solutions.,2017-05-30,HorizonHarbor Property Services,47445
135,ITQ20170134,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2017-05-30,GreenEdge Facility Masters,49501
136,ITQ20170135,ITQ,National Commission for Space Exploration,24/7 security and access control management.,2017-05-31,SecureSpace Management,84840
137,ITQ20170136,ITQ,Department of Advanced Technological Research,Waste management and recycling program implementation.,2017-06-03,GreenEdge Facility Masters,11183
138,ITQ20170137,ITQ,Bureau of Urban Development and Infrastructure,Energy-efficient systems and consumption monitoring.,2017-06-04,SkyHigh Property Management,35068
139,ITQ20170138,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2017-06-07,HorizonView Property Management,56131
140,ITQ20170139,ITQ,National Institute of Scientific Advancement,Renovation and remodeling project management.,2017-06-09,StarStone Facility Services,74248
141,ITQ20170140,ITQ,Office of International Relations and Diplomatic Affairs,Expert landscaping and groundskeeping solutions.,2017-06-10,AlphaWave Property Solutions,80494
142,ITQ20170141,ITQ,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2017-06-11,ApexGuard Facility Services,43709
143,ITQ20170142,ITQ,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,2017-06-12,SilverReach Facility Services,17014
144,ITQ20170143,ITQ,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2017-06-12,GoldenGate Facility Masters,80838
145,ITQ20170144,ITQ,National Cybersecurity Task Force,24/7 security and access control management.,2017-06-12,EliteCare Facility Support,90644
146,ITQ20170145,ITQ,Ministry of Strategic Economic Planning,Building maintenance and repairs.,2017-06-14,StarCrest Facility Services,95709
147,ITQ20170146,ITQ,National Commission for Space Exploration,Emergency response and disaster recovery planning.,2017-06-16,Xtreme Maintenance,30228
148,ITQ20170147,ITQ,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2017-06-19,EliteCare Facility Support,62358
149,ITQ20170148,ITQ,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,2017-06-21,HighWave Building Solutions,29967
150,ITQ20170149,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2017-06-21,EliteEdge Facilities Group,78765
151,ITQ20170150,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,2017-06-22,SwiftSail Building Solutions,66084
152,ITQ20170151,ITQ,Commission for Ethical Governance,Building automation and smart technology integration.,2017-06-23,BlueSky Property Care,14290
153,ITQ20170152,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2017-06-23,MaxPro Building Services,90213
154,ITQ20170153,ITQ,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,2017-06-23,FreshWave Property Support,98240
155,ITQ20170154,ITQ,National Cybersecurity Task Force,24/7 security and access control management.,2017-06-24,HorizonView Property Management,75616
156,ITQ20170155,ITQ,Office of International Relations and Diplomatic Affairs,Fire safety system installation and maintenance.,2017-06-27,GreenLine Building Experts,57434
157,ITQ20170156,ITQ,National Cybersecurity Task Force,Pest control services for a pest-free environment.,2017-06-27,FreshTech Management,66015
158,ITQ20170157,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2017-06-27,SecureTech Building Solutions,76710
159,ITQ20170158,ITQ,Ministry of Strategic Economic Planning,Furniture and equipment maintenance and inventory tracking.,2017-06-27,TrustGuard Facilities,81257
160,ITQ20170159,ITQ,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,2017-06-28,GrandView Facilities Group,99841
161,ITQ20170160,ITQ,Department of Energy Conservation and Sustainability,Furniture and equipment maintenance and inventory tracking.,2017-06-30,EliteEdge Facilities Group,52444
162,ITQ20170161,ITQ,Ministry of Strategic Economic Planning,Energy-efficient systems and consumption monitoring.,2017-06-30,FreshStart Building Solutions,81685
163,ITQ20170162,ITQ,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,2017-06-30,GoldenGate Facility Masters,97742
164,ITQ20170163,ITQ,Commission for Ethical Governance,Health and safety compliance management and training.,2017-07-02,InfinitePro Facility Care,43464
165,ITQ20170164,ITQ,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,2017-07-02,StarStone Facility Services,61646
166,ITQ20170165,ITQ,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,2017-07-03,TrustGuard Facilities,16100
167,ITQ20170166,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2017-07-04,ApexGuard Facility Services,17657
168,ITQ20170167,ITQ,Federal Agency for Environmental Protection,Waste management and recycling program implementation.,2017-07-04,UnitedPro Property Services,97073
169,ITQ20170168,ITQ,Commission for Ethical Governance,Waste management and recycling program implementation.,2017-07-06,InfiniteGuard Building Care,12927
170,ITQ20170169,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2017-07-06,HorizonView Property Management,55253
171,ITQ20170170,ITQ,Department of Energy Conservation and Sustainability,Renovation and remodeling project management.,2017-07-06,UnitedPro Property Services,74119
172,ITQ20170171,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2017-07-06,InfiniteCare Property Services,88023
173,ITQ20170172,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2017-07-06,InfinitePro Facility Care,91798
174,ITQ20170173,ITQ,Department of Public Health and Disease Control,Parking management and traffic control solutions.,2017-07-07,EverPro Property Support,65739
175,ITQ20170174,ITQ,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,2017-07-07,SilverLine Facility Experts,90067
176,ITQ20170175,ITQ,National Cybersecurity Task Force,Indoor air quality monitoring and improvement measures.,2017-07-08,SwiftReach Building Maintenance,52437
177,ITQ20170176,ITQ,Commission for Ethical Governance,Parking management and traffic control solutions.,2017-07-08,CleanStone Property Experts,63882
178,ITQ20170177,ITQ,Ministry of Strategic Economic Planning,Tenant communication and customer service assistance.,2017-07-11,GreenWave Facilities Management,57071
179,ITQ20170178,ITQ,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,2017-07-12,CleanReach Facility Experts,94550
180,ITQ20170179,ITQ,National Cybersecurity Task Force,Space planning and utilization optimization strategies.,2017-07-17,ApexGuard Facility Services,76231
181,ITQ20170180,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2017-07-17,SafeReach Property Solutions,97253
182,ITQ20170181,ITQ,Office of Public Safety and Emergency Management,Building maintenance and repairs.,2017-07-20,UrbanEagle Maintenance,35868
183,ITQ20170182,ITQ,Commission for Ethical Governance,Fire safety system installation and maintenance.,2017-07-20,InfiniteTech Building Solutions,51343
184,ITQ20170183,ITQ,Office of International Relations and Diplomatic Affairs,Cleaning supplies and consumables procurement and management.,2017-07-20,InfiniteSpace Building Solutions,72104
185,ITQ20170184,ITQ,Office of International Relations and Diplomatic Affairs,24/7 security and access control management.,2017-07-24,TruePro Building Experts,37118
186,ITQ20170185,ITQ,Department of Advanced Technological Research,Building maintenance and repairs.,2017-07-26,SafeReach Property Solutions,76804
187,ITQ20170186,ITQ,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,2017-07-27,VisionQuest Facility Care,99510
188,ITQ20170187,ITQ,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,2017-07-28,AlphaPro Facility Solutions,84274
189,ITQ20170188,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,2017-07-29,SilverTech Facilities Masters,55618
190,ITQ20170189,ITQ,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,2017-07-29,HorizonHarbor Property Services,61908
191,ITQ20170190,ITQ,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,2017-07-29,AlphaStone Property Support,80910
192,ITQ20170191,ITQ,Office of Public Safety and Emergency Management,Cleaning supplies and consumables procurement and management.,2017-07-29,TruePro Building Experts,96931
193,ITQ20170192,ITQ,National Commission for Space Exploration,Building automation and smart technology integration.,2017-07-30,GreenCrest Facilities Group,90728
194,ITQ20170193,ITQ,National Institute of Scientific Advancement,Emergency response and disaster recovery planning.,2017-08-01,InfiniteGuard Building Care,63429
195,ITQ20170194,ITQ,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,2017-08-02,SilverTech Facilities Masters,51085
196,ITQ20170195,ITQ,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2017-08-03,CleanReach Facility Experts,15322
197,ITQ20170196,ITQ,Commission for Ethical Governance,Energy-efficient systems and consumption monitoring.,2017-08-03,GrandPro Facilities Support,30360
198,ITQ20170197,ITQ,Commission for Ethical Governance,Furniture and equipment maintenance and inventory tracking.,2017-08-04,TrueNorth Facility Solutions,30922
199,ITQ20170198,ITQ,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,2017-08-05,SafeHarbor Facilities Group,38207
200,ITQ20170199,ITQ,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,2017-08-06,SafeHaven Maintenance,92610
201,ITQ20170200,ITQ,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,2017-08-07,GreenLine Building Experts,10959
202,ITQ20170201,ITQ,National Institute of Scientific Advancement,Energy-efficient systems and consumption monitoring.,2017-08-08,AlphaStone Property Support,98259
203,ITQ20170202,ITQ,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,2017-08-10,TrueNorth Facility Solutions,93413
204,ITQ20170203,ITQ,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,2017-08-14,InfiniteSpace Building Solutions,42935
